,Species,Genus,Family,Molecule_type,Organism_Name,kingdom,phylum,class,order,family,genus,species,strain
k141_208659_GMOREA0012,Harrisonvirus harrison,Harrisonvirus,Unknown,dsDNA,Paenibacillus phage Harrison,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Harrisonvirus,Harrisonvirus harrison,Paenibacillus phage Harrison
k141_208839_GMOREA0010,Deep-sea thermophilic phage D6E,Unknown,Unknown,dsDNA,Deep-sea thermophilic phage D6E,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Deep-sea thermophilic phage D6E,unclassified Deep-sea thermophilic phage D6E subspecies/strain
k141_2088_GMOREA0010,Bacillus phage vB_BsuS_PJN02,Unknown,Unknown,dsDNA,Bacillus phage vB_BsuS_PJN02,Na,Na,Na,Na,Na,Na,Na,Na
k141_20896_GMOREA0004,Enterobacteria phage mEp390,Punavirus,Unknown,dsDNA,Enterobacteria phage mEp390,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Punavirus,Escherichia phage vB_EcoM-Ro157c2YLVW,unclassified Escherichia phage vB_EcoM-Ro157c2YLVW subspecies/strain
k141_209072_GMOREA0056,Labanvirus laban,Labanvirus,Duneviridae,dsDNA,Flavobacterium phage vB_FspS_laban6-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Duneviridae,Labanvirus,Labanvirus laban,Flavobacterium phage vB_FspS_laban6-1
k141_20909_GMOREA0011,Cellulophaga phage phi39:1,Unknown,Unknown,dsDNA,Cellulophaga phage phi39:1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Nitrincola phage 1M3-16,unclassified Nitrincola phage 1M3-16 subspecies/strain
k141_20911_GMOREA0056,Fletchervirus CPX,Fletchervirus,Unknown,dsDNA,Campylobacter phage CPX,Na,Na,Na,Na,Na,Na,Na,Na
k141_20936_GMOREA0160-DNA,Cequinquevirus Ld3,Cequinquevirus,Unknown,dsDNA,Lactobacillus phage Ld3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Cequinquevirus,Cequinquevirus Ld3,Lactobacillus phage Ld3
k141_2093_GMOREA0027,Streptomyces phage TurkishDelight,Unknown,Unknown,dsDNA,Streptomyces phage TurkishDelight,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Idiomarinaceae phage 1N2-2,unclassified Idiomarinaceae phage 1N2-2 subspecies/strain
k141_20940_GMOREA0052-DNA,Leefvirus Leef,Leefvirus,Helgolandviridae,dsDNA,Polaribacter phage Leef_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Helgolandviridae,Leefvirus,Leefvirus Leef,Polaribacter phage Leef_1
k141_2094_GMOREA0109-DNA,Oslovirus Lyz12581Vzw,Oslovirus,Unknown,dsDNA,Escherichia phage Lyz12581Vzw,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Oslovirus,Oslovirus Lyz12581Vzw,Escherichia phage Lyz12581Vzw
k141_209534_GMOREA0010,Listeria phage B054,Unknown,Unknown,dsDNA,Listeria phage B054,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Listeria phage B054,unclassified Listeria phage B054 subspecies/strain
k141_2097_GMOREA0171-DNA,Taranisvirus taranis,Taranisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Taranis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Taranisvirus,Taranisvirus taranis,Faecalibacterium phage FP_Taranis
k141_20980_GMOREA0048-DNA,Bacillus phage phi4B1,Unknown,Unknown,dsDNA,Bacillus phage phi4B1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage phi4B1,unclassified Bacillus phage phi4B1 subspecies/strain
k141_20988_GMOREA0097-DNA,Xuanwuvirus P884B11,Xuanwuvirus,Peduoviridae,dsDNA,Xuanwuvirus P884B11,Na,Na,Na,Na,Na,Na,Na,Na
k141_209958_GMOREA0029,Fadolivirus algeromassiliense,Unknown,Unknown,dsDNA,Fadolivirus algeromassiliense,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Fadolivirus algeromassiliense,unclassified Fadolivirus algeromassiliense subspecies/strain
k141_20998_GMOREA0094-DNA,Donellivirus gee,Donellivirus,Unknown,dsDNA,Bacillus phage G,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCD211,unclassified Clostridium phage phiCD211 subspecies/strain
k141_21016_GMOREA0023,Atlauavirus tusconc8,Atlauavirus,Kyanoviridae,dsDNA,Synechococcus phage ACG-2014f_Syn7803C8,Viruses,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Theiavirus,Theiavirus salishense,Bodo saltans virus
k141_21021_GMOREA0023,Psavirus LP302,Psavirus,Unknown,dsDNA,Listeria phage LP-030-2,Na,Na,Na,Na,Na,Na,Na,Na
k141_210327_GMOREA0029,Lentavirus PMBT5,Lentavirus,Unknown,dsDNA,Eggerthella phage PMBT5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lentavirus,Lentavirus PMBT5,Eggerthella phage PMBT5
k141_21038_GMOREA0041-DNA,Unahavirus uv23T,Unahavirus,Duneviridae,dsDNA,Flavobacterium phage 23T,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Duneviridae,Unahavirus,Unahavirus uv23T,Flavobacterium phage 23T
k141_21039_GMOREA0036,Wadgaonvirus wv5004651,Wadgaonvirus,Peduoviridae,dsDNA,Escherichia phage 500465-1,Viruses,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus 1,unclassified Paramecium bursaria Chlorella virus 1 subspecies/strain
k141_21063_GMOREA0067-DNA,Tetraselmis virus 1,Unknown,Unknown,dsDNA,Tetraselmis virus 1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Oceanusvirus kaneohense,Tetraselmis virus 1
k141_210676_GMOREA0012,Streptomyces phage Chymera,Unknown,Unknown,dsDNA,Streptomyces phage Chymera,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Streptomyces phage Chymera,unclassified Streptomyces phage Chymera subspecies/strain
k141_210728_GMOREA0010,Fernvirus BN12,Fernvirus,Unknown,dsDNA,Paenibacillus phage BN12,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Fernvirus,Fernvirus BN12,Paenibacillus phage BN12
k141_21074_GMOREA0160-DNA,Listeria phage A006,Unknown,Unknown,dsDNA,Listeria phage A006,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Brochothrix phage BL3,unclassified Brochothrix phage BL3 subspecies/strain
k141_21087_GMOREA0173-DNA,Tetraselmis virus 1,Unknown,Phycodnaviridae,dsDNA,Tetraselmis virus 1,Na,Na,Na,Na,Na,Na,Na,Na
k141_21091_GMOREA0006,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_21104_GMOREA0097-DNA,Brevibacillus phage Sundance,Unknown,Unknown,dsDNA,Brevibacillus phage Sundance,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Brevibacillus phage Sundance,unclassified Brevibacillus phage Sundance subspecies/strain
k141_21126_GMOREA0134-DNA,Fadolivirus algeromassiliense,Fadolivirus,Unknown,dsDNA,Fadolivirus algeromassiliense,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Fadolivirus,Fadolivirus algeromassiliense,unclassified Fadolivirus algeromassiliense subspecies/strain
k141_211296_GMOREA0012,Dragolirvirus dragolir,Unknown,Unknown,dsDNA,Paenibacillus phage Dragolir,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Dragolirvirus dragolir,Paenibacillus phage Dragolir
k141_211375_GMOREA0056,Paenibacillus phage PG1,Unknown,Unknown,dsDNA,Paenibacillus phage PG1,Na,Na,Na,Na,Na,Na,Na,Na
