,Species,Genus,Family,Molecule_type,Organism_Name,kingdom,phylum,class,order,family,genus,species,strain
k141_81278_GMOREA0171-DNA,Chaovirus ChaoS9,Chaovirus,Vertoviridae,dsDNA,Halobacterium phage ChaoS9,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Vertoviridae,Chaovirus,Chaovirus ChaoS9,Halobacterium phage ChaoS9
k141_81280_GMOREA0173-DNA,Peduovirus P2,Peduovirus,Peduoviridae,dsDNA,Peduovirus P2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Peduovirus,Peduovirus P24C9,unclassified Peduovirus P24C9 subspecies/strain
k141_81286_GMOREA0173-DNA,Rockefellervirus IPLA5,Rockefellervirus,Unknown,dsDNA,Staphylococcus phage Ipla5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Rockefellervirus,Rockefellervirus IPLA5,Staphylococcus phage Ipla5
k141_8132_GMOREA0120-DNA,Bifidobacterium phage BD811P2,Unknown,Unknown,dsDNA,Bifidobacterium phage BD811P2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bifidobacterium phage BD811P2,unclassified Bifidobacterium phage BD811P2 subspecies/strain
k141_8135_GMOREA0134-DNA,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_81368_GMOREA0023,Peternellavirus peternella,Peternellavirus,Winoviridae,dsDNA,Winogradskyella phage Peternella_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Winoviridae,Peternellavirus,Peternellavirus peternella,Winogradskyella phage Peternella_1
k141_81393_GMOREA0178-DNA,Dabirmavirus hominis,Dabirmavirus,Intestiviridae,dsDNA,uncultured phage cr9_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Dabirmavirus,Dabirmavirus hominis,uncultured phage cr9_1
k141_81399_GMOREA0117-DNA,Svunavirus sv1,Svunavirus,Unknown,dsDNA,Bacillus phage 1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Svunavirus,Svunavirus sv1,Bacillus phage 1
k141_8140_GMOREA0052-DNA,Lessievirus bcep22,Lessievirus,Unknown,dsDNA,Burkholderia phage Bcep22,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lessievirus,Lessievirus bcep22,Burkholderia phage Bcep22
k141_81446_GMOREA0173-DNA,Yongloolinvirus CDMH1,Yongloolinvirus,Unknown,dsDNA,Clostridium phage CDMH1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Rothia phage Spartoi,unclassified Rothia phage Spartoi subspecies/strain
k141_81468_GMOREA0044-DNA,Fernvirus leyra,Fernvirus,Unknown,dsDNA,Paenibacillus phage Leyra,Na,Na,Na,Na,Na,Na,Na,Na
k141_81486_GMOREA0041-DNA,Stanholtvirus E125,Unknown,Unknown,dsDNA,Burkholderia phage phiE125,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Stanholtvirus E125,Burkholderia phage phiE125
k141_81518_GMOREA0056,Flavobacterium phage 11b,Unknown,Unknown,dsDNA,Flavobacterium phage 11b,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Flavobacterium phage 11b,unclassified Flavobacterium phage 11b subspecies/strain
k141_81527_GMOREA0004,Lactococcus phage bIL285,Unknown,Unknown,dsDNA,Lactococcus phage bIL285,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Lactococcus phage bIL285,unclassified Lactococcus phage bIL285 subspecies/strain
k141_81530_GMOREA0172-DNA,Clostridium phage phiCT19406B,Unknown,Unknown,dsDNA,Clostridium phage phiCT19406B,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT19406B,unclassified Clostridium phage phiCT19406B subspecies/strain
k141_81534_GMOREA0011,Immutovirus immuto,Immutovirus,Herelleviridae,dsDNA,Flavobacterium phage vB_FspM_immuto_2-6A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Immutovirus,Immutovirus immuto,Flavobacterium phage vB_FspM_immuto_2-6A
k141_81546_GMOREA0027,Lilyvirus lily,Lilyvirus,Unknown,dsDNA,Bacteriophage Lily,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lilyvirus,Lilyvirus lily,Bacteriophage Lily
k141_8155_GMOREA0109-DNA,Brussowvirus 20617,Brussowvirus,Aliceevansviridae,dsDNA,Streptococcus phage 20617,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Streptococcus phage CHPC1042,unclassified Streptococcus phage CHPC1042 subspecies/strain
k141_81563_GMOREA0027,Colneyvirus CDKM9,Colneyvirus,Unknown,dsDNA,Clostridium phage CDKM9,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Colneyvirus,Colneyvirus CDKM9,Clostridium phage CDKM9
k141_8157_GMOREA0117-DNA,Buchavirus coli,Buchavirus,Suoliviridae,dsDNA,uncultured phage cr113_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Buchavirus,Buchavirus coli,uncultured phage cr113_1
k141_81588_GMOREA0117-DNA,Enterobacteria phage P4,Unknown,Unknown,dsDNA,Enterobacteria phage P4,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Enterobacteria phage cdtI,unclassified Enterobacteria phage cdtI subspecies/strain
k141_81589_GMOREA0178-DNA,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_81615_GMOREA0056,Bacteroides phage B124-14,Unknown,Unknown,dsDNA,Bacteroides phage B124-14,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacteroides phage B124-14,unclassified Bacteroides phage B124-14 subspecies/strain
k141_81666_GMOREA0052-DNA,Croceibacter phage P2559Y,Unknown,Unknown,dsDNA,Croceibacter phage P2559Y,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Croceibacter phage P2559Y,unclassified Croceibacter phage P2559Y subspecies/strain
k141_81685_GMOREA0115-DNA,Felsduovirus ST437OXA245phi42,Felsduovirus,Peduoviridae,dsDNA,Klebsiella phage ST437-OXA245phi4.2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Felsduovirus,Felsduovirus ST437OXA245phi42,Klebsiella phage ST437-OXA245phi4.2
k141_81695_GMOREA0173-DNA,Nesevirus nv2G7b,Nesevirus,Unknown,dsDNA,Escherichia phage 2G7b,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Nesevirus,Nesevirus nv2G7b,Escherichia phage 2G7b
k141_81698_GMOREA0120-DNA,Nekkelsvirus Nekkels,Nekkelsvirus,Assiduviridae,dsDNA,Cellulophaga phage Nekkels_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Assiduviridae,Nekkelsvirus,Nekkelsvirus Nekkels,Cellulophaga phage Nekkels_1
k141_81712_GMOREA0029,Brigitvirus brigit,Unknown,Unknown,dsDNA,Faecalibacterium phage FP_Brigit,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Brigitvirus,Brigitvirus brigit,Faecalibacterium phage FP_Brigit
k141_81727_GMOREA0173-DNA,Astrithrvirus astrithr,Astrithrvirus,Unknown,dsDNA,Salmonella phage astrithr,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage CI461P1,unclassified Clostridium phage CI461P1 subspecies/strain
k141_81752_GMOREA0011,Clostridium phage vB_CpeS-CP51,Unknown,Unknown,dsDNA,Clostridium phage vB_CpeS-CP51,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage vB_CpeS-CP51,unclassified Clostridium phage vB_CpeS-CP51 subspecies/strain
k141_8177_GMOREA0160-DNA,Labanvirus laban,Labanvirus,Duneviridae,dsDNA,Flavobacterium phage vB_FspS_laban6-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Duneviridae,Labanvirus,Labanvirus laban,Flavobacterium phage vB_FspS_laban6-1
k141_81817_GMOREA0011,Burkholderia phage KS9,Unknown,Unknown,dsDNA,Burkholderia phage KS9,Na,Na,Na,Na,Na,Na,Na,Na
k141_81830_GMOREA0056,Lentavirus PMBT5,Unknown,Unknown,dsDNA,Eggerthella phage PMBT5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lentavirus,Lentavirus PMBT5,Eggerthella phage PMBT5
k141_81845_GMOREA0171-DNA,Ochrobactrum phage POA1180,Unknown,Unknown,dsDNA,Ochrobactrum phage POA1180,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Ochrobactrum phage POA1180,unclassified Ochrobactrum phage POA1180 subspecies/strain
k141_81861_GMOREA0142-DNA,Bacillus phage vB_BanS_Sophrita,Unknown,Unknown,dsDNA,Bacillus phage vB_BanS_Sophrita,Na,Na,Na,Na,Na,Na,Na,Na
k141_81863_GMOREA0103-DNA,Staphylococcus phage StB20,Unknown,Unknown,dsDNA,Staphylococcus phage StB20,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Enterobacteria phage phiP27,unclassified Enterobacteria phage phiP27 subspecies/strain
k141_8189_GMOREA0004,Seongbukvirus MH1,Seongbukvirus,Unknown,dsDNA,Leuconostoc phage phiMH1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Seongbukvirus,Seongbukvirus MH1,Leuconostoc phage phiMH1
k141_81903_GMOREA0041-DNA,Mahstovirus faecalis,Mahstovirus,Steigviridae,dsDNA,uncultured phage cr106_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Mahstovirus,Mahstovirus faecalis,uncultured phage cr106_1
k141_81919_GMOREA0178-DNA,Shigella phage SfIV,Unknown,Unknown,dsDNA,Shigella phage SfIV,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Shigella phage SfIV,unclassified Shigella phage SfIV subspecies/strain
k141_81933_GMOREA0124-DNA,Clostridium phage c-st,Unknown,Unknown,dsDNA,Clostridium phage c-st,Na,Na,Na,Na,Na,Na,Na,Na
k141_81943_GMOREA0044-DNA,Lactococcus phage 28201,Unknown,Unknown,dsDNA,Lactococcus phage 28201,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Lactococcus phage 28201,unclassified Lactococcus phage 28201 subspecies/strain
k141_81957_GMOREA0173-DNA,Oslovirus ArgO145,Oslovirus,Unknown,dsDNA,Escherichia phage ArgO145,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Oslovirus,Oslovirus ArgO145,Escherichia phage ArgO145
k141_81979_GMOREA0171-DNA,Freyavirus freya,Unknown,Unknown,dsDNA,Polaribacter phage Freya_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Freyavirus freya,Polaribacter phage Freya_1
k141_8198_GMOREA0120-DNA,Eponavirus epona,Eponavirus,Unknown,dsDNA,Faecalibacterium phage FP_Epona,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Eponavirus,Eponavirus epona,Faecalibacterium phage FP_Epona
k141_81997_GMOREA0142-DNA,Staphylococcus phage StB20,Unknown,Unknown,dsDNA,Staphylococcus phage StB20,Na,Na,Na,Na,Na,Na,Na,Na
k141_819_GMOREA0061-DNA,Arawnvirus arawn,Arawnvirus,Unknown,dsDNA,Butyrivibrio phage Arawn,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Arawnvirus,Arawnvirus arawn,Butyrivibrio phage Arawn
k141_82017_GMOREA0044-DNA,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_82023_GMOREA0178-DNA,Leefvirus Leef,Leefvirus,Helgolandviridae,dsDNA,Polaribacter phage Leef_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Helgolandviridae,Leefvirus,Leefvirus Leef,Polaribacter phage Leef_1
k141_82031_GMOREA0142-DNA,Salmonella phage SSU5,Unknown,Unknown,dsDNA,Salmonella phage SSU5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Salmonella phage SSU5,unclassified Salmonella phage SSU5 subspecies/strain
k141_82046_GMOREA0173-DNA,Streptococcus phage 315.6,Unknown,Unknown,dsDNA,Streptococcus phage 315.6,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Streptococcus phage 315.6,unclassified Streptococcus phage 315.6 subspecies/strain
k141_8204_GMOREA0036,Bacteroides phage B124-14,Unknown,Unknown,dsDNA,Bacteroides phage B124-14,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Winoviridae,Peternellavirus,Peternellavirus peternella,Winogradskyella phage Peternella_1
k141_82098_GMOREA0171-DNA,Leefvirus Leef,Leefvirus,Helgolandviridae,dsDNA,Polaribacter phage Leef_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Helgolandviridae,Leefvirus,Leefvirus Leef,Polaribacter phage Leef_1
k141_82114_GMOREA0115-DNA,Blohavirus faecalis,Blohavirus,Suoliviridae,dsDNA,uncultured phage cr150_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Blohavirus,Blohavirus faecalis,uncultured phage cr150_1
k141_82115_GMOREA0115-DNA,Lightbulbvirus Cba172,Lightbulbvirus,Unknown,dsDNA,Cellulophaga phage phi17:2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lightbulbvirus,Lightbulbvirus Cba172,Cellulophaga phage phi17:2
k141_82121_GMOREA0103-DNA,Pseudomonas phage phiPSA1,Unknown,Unknown,dsDNA,Pseudomonas phage phiPSA1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudomonas phage phiPSA1,unclassified Pseudomonas phage phiPSA1 subspecies/strain
k141_82121_GMOREA0173-DNA,Streptococcus phage EJ-1,Unknown,Unknown,dsDNA,Streptococcus phage EJ-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_82123_GMOREA0173-DNA,Afonbuvirus intestinihominis,Afonbuvirus,Suoliviridae,dsDNA,uncultured phage cr12_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Afonbuvirus,Afonbuvirus coli,uncultured phage cr35_1
k141_82124_GMOREA0173-DNA,Cbastvirus ST,Unknown,Unknown,dsDNA,Cellulophaga phage phiST,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Cbastvirus,Cbastvirus ST,Cellulophaga phage phiST
k141_82125_GMOREA0115-DNA,Afonbuvirus coli,Afonbuvirus,Suoliviridae,dsDNA,uncultured phage cr35_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Afonbuvirus,Afonbuvirus coli,uncultured phage cr35_1
k141_82125_GMOREA0173-DNA,Jarrellvirus BCAJ1,Jarrellvirus,Unknown,dsDNA,Bacillus phage BCASJ1c,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage phi4B1,unclassified Bacillus phage phi4B1 subspecies/strain
k141_82130_GMOREA0173-DNA,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_82139_GMOREA0115-DNA,Chimpanzee faeces associated microphage 1,Unknown,Microviridae,ssDNA(+),Chimpanzee faeces associated microphage 1,Viruses,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,unclassified Microviridae genus,Chimpanzee faeces associated microphage 1,unclassified Chimpanzee faeces associated microphage 1 subspecies/strain
k141_8213_GMOREA0023,Brigitvirus brigit,Brigitvirus,Unknown,dsDNA,Faecalibacterium phage FP_Brigit,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Brigitvirus,Brigitvirus brigit,Faecalibacterium phage FP_Brigit
k141_8214_GMOREA0120-DNA,Casadabanvirus D3112,Casadabanvirus,Unknown,dsDNA,Pseudomonas phage D3112,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Casadabanvirus,Casadabanvirus D3112,Pseudomonas phage D3112
k141_82161_GMOREA0012,Colneyvirus CDKM9,Colneyvirus,Unknown,dsDNA,Clostridium phage CDKM9,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Colneyvirus,Colneyvirus CDKM9,Clostridium phage CDKM9
k141_821_GMOREA0061-DNA,Jouyvirus ev017,Jouyvirus,Unknown,dsDNA,Escherichia phage ev017,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Jouyvirus,Jouyvirus ev017,Escherichia phage ev017
k141_82221_GMOREA0041-DNA,Colneyvirus CD505,Colneyvirus,Unknown,dsDNA,Clostridium phage phiCD505,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Colneyvirus,Colneyvirus CD505,Clostridium phage phiCD505
k141_82232_GMOREA0067-DNA,Pseudotevenvirus RB43,Pseudotevenvirus,Straboviridae,dsDNA,Escherichia phage RB43,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Deep-sea thermophilic phage D6E,unclassified Deep-sea thermophilic phage D6E subspecies/strain
k141_8228_GMOREA0142-DNA,Rhizobium phage RHEph10,Unknown,Unknown,dsDNA,Rhizobium phage RHEph10,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Rhizobium phage RHEph10,unclassified Rhizobium phage RHEph10 subspecies/strain
k141_822_GMOREA0097-DNA,Paclarkvirus IPP66,Unknown,Unknown,dsDNA,Streptococcus phage IPP66,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Paclarkvirus,Paclarkvirus IPP66,Streptococcus phage IPP66
k141_82341_GMOREA0178-DNA,Sinorhizobium phage PBC5,Unknown,Unknown,dsDNA,Sinorhizobium phage PBC5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Sinorhizobium phage PBC5,unclassified Sinorhizobium phage PBC5 subspecies/strain
k141_82360_GMOREA0044-DNA,Lafunavirus LF1,Unknown,Unknown,dsDNA,Lactobacillus phage LF1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Streptococcus phage phiARI0131-1,unclassified Streptococcus phage phiARI0131-1 subspecies/strain
k141_82378_GMOREA0080-DNA,Haemophilus phage SuMu,Unknown,Unknown,dsDNA,Haemophilus phage SuMu,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Haemophilus phage SuMu,unclassified Haemophilus phage SuMu subspecies/strain
k141_82379_GMOREA0171-DNA,Deurplevirus deeppurple,Deurplevirus,Unknown,dsDNA,Bacillus phage Deep-Purple,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Deurplevirus,Deurplevirus deeppurple,Bacillus phage Deep-Purple
k141_82386_GMOREA0172-DNA,Yongloolinvirus CDMH1,Yongloolinvirus,Unknown,dsDNA,Clostridium phage CDMH1,Na,Na,Na,Na,Na,Na,Na,Na
k141_82394_GMOREA0012,Rhizobium phage RHph_I1_9,Unknown,Unknown,dsDNA,Rhizobium phage RHph_I1_9,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Rhizobium phage RHph_I1_9,unclassified Rhizobium phage RHph_I1_9 subspecies/strain
k141_82396_GMOREA0067-DNA,Bacillus phage phBC6A52,Unknown,Unknown,dsDNA,Bacillus phage phBC6A52,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage phBC6A52,unclassified Bacillus phage phBC6A52 subspecies/strain
k141_82404_GMOREA0178-DNA,Burkholderia phage BgManors32,Unknown,Unknown,dsDNA,Burkholderia phage BgManors32,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Burkholderia phage BgManors32,unclassified Burkholderia phage BgManors32 subspecies/strain
k141_82448_GMOREA0117-DNA,Jimmervirus jimmer,Jimmervirus,Unknown,dsDNA,Brevibacillus phage Jimmer2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Jimmervirus,Jimmervirus jimmer,Brevibacillus phage Jimmer2
k141_82454_GMOREA0080-DNA,Pseudomonas virus M6,Yuavirus,Mesyanzhinovviridae,dsDNA,Pseudomonas phage M6,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Borockvirus,Borockvirus brock,Streptomyces phage BRock
k141_82458_GMOREA0011,Presleyvirus presley,Presleyvirus,Schitoviridae,dsDNA,Acinetobacter phage Presley,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Schitoviridae,Presleyvirus,Presleyvirus presley,Acinetobacter phage Presley
k141_82458_GMOREA0080-DNA,Pamirivirus faecium,Unknown,Unknown,dsDNA,uncultured phage cr116_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Nekkelsvirus Nekkels,Cellulophaga phage Nekkels_1
k141_8245_GMOREA0172-DNA,Bacillus phage pW2,Unknown,Unknown,dsDNA,Bacillus phage pW2,Na,Na,Na,Na,Na,Na,Na,Na
k141_82466_GMOREA0178-DNA,Wizardvirus bakery,Wizardvirus,Unknown,dsDNA,Gordonia phage Bakery,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Wizardvirus,Wizardvirus bakery,Gordonia phage Bakery
k141_82493_GMOREA0006,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_82511_GMOREA0067-DNA,Mahlunavirus rarus,Mahlunavirus,Steigviridae,dsDNA,uncultured phage cr128_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Mahlunavirus,Mahlunavirus rarus,uncultured phage cr128_1
k141_82560_GMOREA0168-DNA,Clostridium phage phiCD6356,Unknown,Unknown,dsDNA,Clostridium phage phiCD6356,Na,Na,Na,Na,Na,Na,Na,Na
k141_82571_GMOREA0067-DNA,Brigitvirus brigit,Brigitvirus,Unknown,dsDNA,Faecalibacterium phage FP_Brigit,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Brigitvirus,Brigitvirus brigit,Faecalibacterium phage FP_Brigit
k141_82577_GMOREA0171-DNA,Clostridium phage c-st,Unknown,Unknown,dsDNA,Clostridium phage c-st,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Justusliebigvirus muut,Escherichia phage muut
k141_82596_GMOREA0027,Clostridium phage c-st,Unknown,Unknown,dsDNA,Clostridium phage c-st,Na,Na,Na,Na,Na,Na,Na,Na
k141_82597_GMOREA0119-DNA,Mycobacterium phage Dori,Unknown,Unknown,dsDNA,Mycobacterium phage Dori,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Mycobacterium phage Dori,unclassified Mycobacterium phage Dori subspecies/strain
k141_82619_GMOREA0027,Bacillus phage 0305phi8-36,Unknown,Unknown,dsDNA,Bacillus phage 0305phi8-36,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage 0305phi8-36,unclassified Bacillus phage 0305phi8-36 subspecies/strain
k141_82637_GMOREA0010,Sherbrookevirus CD4811,Sherbrookevirus,Unknown,dsDNA,Clostridium phage phiCD481-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Sherbrookevirus,Sherbrookevirus CD4811,Clostridium phage phiCD481-1
k141_82643_GMOREA0142-DNA,Lagaffevirus lagaffe,Lagaffevirus,Unknown,dsDNA,Faecalibacterium phage FP_Lagaffe,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lagaffevirus,Lagaffevirus lagaffe,Faecalibacterium phage FP_Lagaffe
k141_82665_GMOREA0011,Only Syngen Nebraska virus 5,Chlorovirus,Phycodnaviridae,dsDNA,Only Syngen Nebraska virus 5,Viruses,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Only Syngen Nebraska virus 5,unclassified Only Syngen Nebraska virus 5 subspecies/strain
